numero;nombre;longitud;latitud
1;PLAZA QUEMADERO;-2.466988;36.84615
2;PABLO IGLESIAS;-2.4646894;36.8463098
3;RAMBLA ALFAREROS;-2.4641648;36.8431565
4;PUERTA PURCHENA;-2.463806;36.840617
5;PLAZA EDUCADOR;-2.463493;36.838524
6;PASEO DE ALMERIA, 82;-2.463135;36.83589
7;STELLA MARIS;-2.460845;36.837005
8;AVDA. DE LA ESTACION;-2.457414;36.836926
9;SANIDAD;-2.45485560660793;36.839119818339
10;CTRA. DE RONDA, 137;-2.453367;36.841478
11;CRUZ ROJA;-2.452455;36.843576
12;BOLA AZUL;-2.452797;36.848256
13;LA MAGNESITA;-2.452401;36.8507381
14;FÁBRICA DE AZUFRE;-2.4500392;36.854535
15;ACCESO PIEDRAS REDONDAS;-2.4485922;36.8569737
16;RAMBLA INIESTA;-2.447735;36.8605846
17;CEMENTERIO;-2.4486517;36.8623739
19;CTRA. HUERCAL, 24;-2.4452729;36.8608285
20;ESTADIO MUNICIPAL JUAN ROJAS;-2.4446354;36.8622178
22;HOSPITAL TORRECARDENAS;-2.440854;36.863255
23;ESTADIO MUNICIPAL JUAN ROJAS;-2.444854;36.86203
24;ASOCIACIÓN DE VECINOS LA TORRE;-2.4456383;36.860345
25;ACCESO PIEDRAS REDONDAS;-2.4490957;36.8565866
26;FABRICA DE AZUFRE;-2.4513542;36.8535648
27;LA MAGNESITA;-2.4525602;36.8503961
28;BOLA AZUL;-2.45293;36.84829
29;CRUZ ROJA;-2.452628;36.843561
30;CTRA. DE RONDA, 129;-2.453953;36.840723
31;SANIDAD;-2.45466626946696;36.8390919066416
32;GREGORIO MARAÑON, 45;-2.4561358006;36.83766554
33;GREGORIO MARAÑON  LA SALLE;-2.4590736334;36.8389435977
34;OBISPO ORBERA;-2.460163;36.839528
35;RAMBLA ALFAREROS;-2.4640667;36.8424119
36;PABLO IGLESIAS;-2.4646576;36.8461368
37;ESTADIO LA JUVENTUD;-2.449906;36.830565
39;CALLE FERNANDEZ BUESO;-2.451757;36.833422
40;AVENIDA AMERICA;-2.454396;36.833146
41;VILLA GARCIA;-2.452956;36.830183
42;SAN MIGUEL;-2.45601;36.831326
43;CLUB NÁUTICO;-2.459667;36.832712
44;OLIVEROS;-2.462292;36.834651
47;CLUB NÁUTICO;-2.459635;36.83249
48;SAN MIGUEL;-2.456064;36.831243
49;VILLA GARCIA;-2.453304;36.830202
50;LA SALLE;-2.4593;36.83945
51;OBELISCO;-2.457582;36.842096
52;PLAZA ALTAMIRA;-2.4565;36.84212
53;DOCTOR CARRACIDO;-2.4544;36.8412
54;BLAS INFANTE;-2.45115149054708;36.8412842701804
55;ARCIPRESTE DE HITA;-2.44847944134231;36.8410465428689
56;AVDA. MEDITERRANEO - PARQUE;-2.44724;36.8412799
57;AVDA. DEL MEDITERRANEO 244;-2.447218;36.8428773
58;AVDA. DEL MEDITERRANEO 290;-2.4472393;36.8447935
59;AVDA. DEL MEDITERRANEO - CTRA. DE NIJAR;-2.4471095;36.8465314
60;BARRIO SAN LUÍS;-2.4466583;36.8491268
61;CENTRO COMERCIAL MEDITERRÁNEO;-2.446113;36.853845
65;VILLA BLANCA - PARQUE;-2.4416387;36.8533429
66;VILLA BLANCA - TELEFÓNICA;-2.443408;36.8542647
67;CENTRO COMERCIAL MEDITERRÁNEO;-2.4462579;36.852695
68;BARRIO SAN LUÍS;-2.446749;36.848518
69;JEFATURA POLICÍA LOCAL;-2.4473692;36.8450391
70;AVDA. MEDITERRANEO 233;-2.4473561;36.8430243
71;PLAZA NUEVA ANDALUCIA;-2.44745;36.84129034
72;IES AZCONA;-2.448535;36.839652
74;CONSERVATORIO DE MÚSICA;-2.452269;36.839549
75;PLAZA DE PESCADORES;-2.4784;36.8393
76;CALLE VALDIVIA;-2.47704;36.84099
77;AVENIDA DEL MAR 106;-2.47565;36.84084
78;AVENIDA DEL MAR 50;-2.47545;36.83922
79;AVENIDA DEL MAR 39;-2.47575;36.83882
80;FEDERICO GARCÍA LORCA 54;-2.459694;36.838727
81;GRANJA ESCUELA;-2.4463708;36.8455361
82;LOS DÍAZ;-2.4427842;36.8458248
83;PLAZA DE FÁTIMA;-2.439035;36.845126
84;POLÍGONO LA MEZQUITA;-2.4345092;36.843199
85;MARE NOSTRUM 32;-2.432;36.8444
86;MARE NOSTRUM 50;-2.4327;36.84715
87;MARE NOSTRUM - COLEGIO;-2.43251498413088;36.846448683959
88;AMBULATORIO PUCHE;-2.43273;36.84733
89;MARE NOSTRUM 102;-2.43292105026239;36.8498746486294
90;POLIGONO SECTOR 20;-2.43112589416501;36.8505211640105
91;MARE NOSTRUM 102;-2.43299615211481;36.849940304812
92;AMBULATORIO PUCHE;-2.43289;36.84731
93;MARE NOSTRUM 50;-2.4328;36.8471
94;RESIDENCIA ALBORÁN;-2.457624;36.831797
95;MARE NOSTRUM 32;-2.4321;36.8444
96;EL INGENIO;-2.4353712;36.8434934
97;MOLINO ROJO;-2.439995;36.845757
98;LOS DÍAZ;-2.441945;36.846133
99;GRANJA ESCUELA;-2.444853;36.845607
101;FUENTE DE LOS PECES;-2.46801;36.83591
102;LA CURVA NICOLÁS SALMERON;-2.4732;36.8376
104;SAN ROQUE;-2.4785685;36.8373594
105;LOS ALMENDROS;-2.451355144;36.85928112
107;IGLESIA PIEDRAS REDONDAS;-2.4512933;36.8584
108;RESIDENCIA ALBORAN;-2.457749;36.831959
109;VILLA MARÍA;-2.4559099;36.8543702
111;MAESTRÍA;-2.4555952;36.8493096
112;CARRETERA GRANADA 213;-2.4569326;36.8480865
113;CARRETERA GRANADA 145;-2.4585103;36.8466744
114;VAGUADA;-2.458554;36.844652
115;OBELISCO;-2.458296;36.842148
116;CALLE MAMÍ - CAUCE;-2.440887;36.8464061
117;VAGUADA;-2.458037;36.844704
121;MARE NOSTRUM - COLEGIO;-2.4324;36.8465
124;IGLESIA PIEDRAS REDONDAS;-2.450106;36.859218
126;CALLE MAMÍ - IGLESIA;-2.438848;36.8469145
127;CALLE MAMÍ, 140;-2.436627;36.847523
128;BARRIO ARACELI;-2.4528666;36.8561472
130;CRUZ DE CARAVACA;-2.454321;36.8504686
131;BARRIO ARACELI;-2.4534767;36.8558403
133;CALIFORNIA;-2.451382;36.82884
134;PLAZA DE ZAPILLO;-2.44926;36.826366
135;PASEO MARÍTIMO;-2.447286;36.824909
136;AUDITORIO;-2.444219;36.822781
137;RESIDENCIA TERCERA EDAD;-2.439843;36.81968
138;NUEVA ALMERÍA;-2.439869;36.819661
139;PLAYA;-2.435805;36.816776
140;RIO ANDARAX;-2.42658;36.815635
141;LA CABAÑA;-2.419667;36.817271
142;EL BOBAR;-2.414522;36.818544
143;TRAFARIÑA;-2.40988;36.821566
144;UNIVERSIDAD;-2.404127;36.827775
145;TRAFARIÑA;-2.410005;36.821593
146;EL BOBAR;-2.41465;36.818687
147;LA CABAÑA;-2.41989;36.817401
148;RIO ANDARAX;-2.42691;36.815835
149;PLAYA;-2.435201;36.816474
150;NUEVA ALMERÍA;-2.438193;36.818603
151;QUINTO PINO;-2.440861;36.820536
152;AUDITORIO;-2.444093;36.822888
154;RECINTO FERIAL;-2.44503;36.8250501
155;AVDA. DEL MEDITERRANEO 45;-2.445467616;36.8279662908
156;CALLE ZÉUS;-2.435403;36.849303
157;AVDA. DEL MEDITERRANEO 104;-2.44632;36.8324477429
158;CORTIJO GRANDE;-2.4467085;36.8341351
159;AV. MEDITERRANEO - ESTACIÓN DE SERVICIO;-2.4467987;36.8344742
160;AVDA. DEL MEDITERRANEO 104;-2.44635;36.8322743643075
161;CALLE LA FUENTE;-2.43742;36.850505
162;AVDA. DEL MEDITERRANEO 45;-2.445624183;36.8279601
163;RECINTO FERIAL;-2.445134;36.8254307
164;PASEO MARITIMO;-2.447185;36.825033
165;PLAZA ZAPILLO;-2.44883;36.826206
166;CALIFORNIA;-2.451651;36.829248
167;EL CHARCO;-2.3889;36.834857
168;COSTACABANA  PISTAS DEPORTIVAS;-2.385125;36.838443
169;PLAZA DE COSTACABANA;-2.380912;36.839386
170;CALLE RHIN  CARRETERA DE RETAMAR;-2.386149;36.837982
